,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Busselton,97,AU,1567461030,65,-33.64,115.35,51.01,22.3
1,Hobart,20,AU,1567460868,76,-42.88,147.33,54.0,6.93
2,Ushuaia,75,AR,1567461033,96,-54.81,-68.31,35.6,39.15
3,Liku,89,ID,1567461034,76,-0.73,119.89,81.23,9.86
4,Bathsheba,40,BB,1567461035,70,13.22,-59.52,86.0,17.22
5,Rome,40,IT,1567460946,88,41.89,12.48,73.0,3.36
6,Vaini,100,IN,1567461038,93,15.34,74.49,75.65,2.68
7,Puerto Ayora,90,EC,1567461039,65,-0.74,-90.35,77.0,12.75
8,Avera,40,US,1567461040,52,33.19,-82.53,91.4,9.17
9,Rikitea,100,PF,1567461042,83,-23.12,-134.97,73.13,4.16
10,Honningsvag,90,NO,1567461043,100,70.98,25.97,50.0,17.22
11,Chuy,100,UY,1567461044,66,-33.69,-53.46,51.53,8.5
12,Mahebourg,40,MU,1567461046,82,-20.41,57.7,69.01,4.7
13,Dwarka,75,IN,1567461047,84,28.58,77.04,91.0,4.99
14,Ilulissat,75,GL,1567460833,70,69.22,-51.1,42.8,4.7
15,Yellowknife,90,CA,1567461050,71,62.45,-114.38,50.0,6.93
16,Port Alfred,16,ZA,1567461051,91,-33.59,26.89,57.99,3.0
17,Tuktoyaktuk,20,CA,1567461053,65,69.44,-133.03,46.4,17.22
18,Nicoya,20,CR,1567461054,62,10.15,-85.45,89.6,13.87
19,Kapaa,75,US,1567461019,62,22.08,-159.32,87.8,13.87
20,Bambous Virieux,40,MU,1567460760,82,-20.34,57.76,69.01,4.7
21,Christchurch,0,NZ,1567460864,93,-43.53,172.64,54.0,4.7
22,Awjilah,0,LY,1567461059,23,29.14,21.3,86.99,11.21
23,Mataura,77,NZ,1567461060,78,-46.19,168.86,48.99,4.0
24,Viedma,99,AR,1567461062,62,-40.81,-62.99,42.53,24.43
25,Pachino,20,IT,1567460810,83,36.72,15.09,73.4,1.12
26,Nome,40,US,1567461064,44,30.04,-94.42,96.01,10.29
27,Wajima,100,JP,1567461066,92,37.4,136.9,71.51,15.52
28,Kitab,0,UZ,1567461067,45,39.12,66.88,64.4,6.93
29,Khatanga,0,RU,1567461069,75,71.98,102.47,40.37,7.02
30,Cape Town,0,ZA,1567461070,87,-33.93,18.42,57.0,4.7
31,Nikolskoye,40,RU,1567461071,87,59.7,30.79,64.99,6.71
32,Albany,75,US,1567460791,83,42.65,-73.75,73.0,4.7
33,Omboue,87,GA,1567461074,84,-1.57,9.26,74.75,11.88
34,Butaritari,99,KI,1567461076,67,3.07,172.79,85.01,7.0
35,Ponta do Sol,80,BR,1567461077,47,-20.63,-46.0,76.73,3.02
36,Mar del Plata,67,AR,1567461079,50,-46.43,-67.52,41.45,20.27
37,Bluff,0,AU,1567461080,38,-23.58,149.07,61.07,4.07
38,Tagusao,100,PH,1567461081,75,9.19,117.81,81.77,14.27
39,Punta Arenas,20,CL,1567461083,74,-53.16,-70.91,41.0,34.45
40,Zhigansk,99,RU,1567461084,87,66.77,123.37,41.09,11.79
41,Narsaq,66,GL,1567461086,71,60.91,-46.05,51.8,9.17
42,San Patricio,0,PY,1567461087,58,-26.98,-56.83,62.69,4.56
43,Itarema,95,BR,1567461088,74,-2.92,-39.92,78.53,14.03
44,Forest Hills,75,ZA,1567461090,88,-29.76,30.83,71.01,1.12
45,Varzea da Palma,0,BR,1567461091,25,-17.6,-44.73,84.29,4.34
46,Sisimiut,60,GL,1567461093,83,66.94,-53.67,43.43,37.65
47,Provideniya,90,RU,1567461094,76,64.42,-173.23,51.8,13.42
48,Jamestown,1,AU,1567460796,97,-33.21,138.6,46.31,4.21
49,Uray,75,RU,1567461097,96,60.13,64.8,48.65,7.31
50,Cherskiy,0,RU,1567461098,54,68.75,161.3,43.07,5.77
51,Qaanaaq,29,GL,1567461099,52,77.48,-69.36,36.23,2.33
52,Yantal,100,RU,1567461101,84,56.85,105.25,50.45,1.74
53,Syracuse,90,US,1567461102,77,43.05,-76.15,73.4,9.06
54,Thompson,75,CA,1567461103,47,55.74,-97.86,59.0,4.7
55,Bethel,90,US,1567460828,93,60.79,-161.76,59.0,20.8
56,San Quintin,100,PH,1567461106,94,17.54,120.52,74.75,4.61
57,Ancud,0,CL,1567461107,53,-41.87,-73.83,50.0,6.93
58,Rio Grande,0,BR,1567460897,71,-32.03,-52.1,57.2,5.82
59,Pisco,40,PE,1567461110,30,-13.71,-76.2,71.6,11.41
60,Hilo,75,US,1567461111,65,19.71,-155.08,84.0,5.82
61,Port Hedland,0,AU,1567461113,87,-20.31,118.58,57.2,4.7
62,Brae,5,GB,1567461114,93,60.4,-1.35,50.0,6.93
63,Eyrarbakki,0,IS,1567461115,69,63.86,-21.15,48.2,2.24
64,Muret,0,FR,1567461117,42,43.46,1.33,68.0,10.29
65,Hofn,7,IS,1567461118,84,64.25,-15.21,30.83,7.85
66,Pontal do Parana,90,BR,1567461119,87,-25.67,-48.51,61.0,1.12
67,Cabo San Lucas,40,MX,1567461119,58,22.89,-109.91,91.99,10.29
68,Labytnangi,100,RU,1567461122,89,66.66,66.39,43.79,2.57
69,West Wendover,1,US,1567461124,9,40.74,-114.07,93.2,9.17
70,Pyaozerskiy,52,RU,1567461125,84,65.83,31.17,56.75,12.1
71,Rio Gallegos,0,AR,1567461126,45,-51.62,-69.22,46.4,27.51
72,Chaman,0,AF,1567461128,14,30.92,66.46,72.41,0.81
73,Georgetown,40,GY,1567460941,74,6.8,-58.16,86.0,9.17
74,Nemuro,0,JP,1567461130,74,43.32,145.57,64.31,12.86
75,Namibe,97,AO,1567461131,86,-15.19,12.15,64.13,9.04
76,Boyolangu,82,ID,1567461133,94,-8.09,111.9,64.85,4.09
77,Kyren,16,RU,1567461134,88,51.68,102.13,43.61,5.64
78,Wajid,99,SO,1567461135,60,3.81,43.25,78.35,21.45
79,Sabha,0,LY,1567461137,22,27.03,14.43,89.33,10.16
80,Linqing,0,CN,1567460913,73,36.85,115.71,65.93,2.26
81,Jambi,97,ID,1567460999,92,-1.6,103.62,74.03,2.13
82,Boende,39,CD,1567461141,70,-0.28,20.88,76.91,2.33
83,Tiksi,100,RU,1567461142,92,71.64,128.87,39.83,7.05
84,Torbay,40,CA,1567461144,77,47.66,-52.73,61.0,16.11
85,San Pedro,91,AR,1567461145,49,-33.68,-59.66,52.0,8.01
86,Mopti,20,ML,1567461147,83,14.49,-4.19,80.6,4.7
87,Avarua,3,CK,1567461148,53,-21.21,-159.78,71.6,9.17
88,Ocara,100,BR,1567461149,56,-4.49,-38.6,81.59,9.98
89,Goderich,44,CA,1567461151,88,43.74,-81.71,69.01,10.07
90,Severo-Yeniseyskiy,75,RU,1567461152,93,60.37,93.04,42.89,3.85
91,Vestmanna,42,FO,1567461117,81,62.16,-7.17,44.6,3.36
92,Villarrica,0,CL,1567461155,26,-39.28,-72.23,57.2,12.75
93,Mamallapuram,75,IN,1567461156,94,12.63,80.17,82.4,5.82
94,Sinnamary,0,GF,1567461158,81,5.38,-52.96,81.59,13.96
95,Castro,0,CL,1567461159,53,-42.48,-73.76,50.0,6.93
96,Ribeira Grande,20,PT,1567461161,78,38.52,-28.7,73.4,10.29
97,De Land,75,US,1567461162,54,40.12,-88.65,82.0,4.7
98,Seoul,90,KR,1567460996,100,37.57,126.98,71.6,1.12
99,Longyearbyen,75,NO,1567461165,92,78.22,15.63,37.4,25.28
100,Carnarvon,0,ZA,1567461142,19,-30.97,22.13,53.87,4.05
101,Meulaboh,100,ID,1567461168,82,4.14,96.13,80.69,2.89
102,Paamiut,5,GL,1567461169,81,61.99,-49.67,43.61,6.73
103,Saint-Pierre,0,FR,1567461171,62,48.95,4.24,55.4,2.48
104,Nianzishan,76,CN,1567461172,89,47.51,122.88,54.77,3.13
105,Kolpashevo,46,RU,1567461174,90,58.31,82.9,41.27,4.23
106,Asyut,0,EG,1567461118,42,27.18,31.19,84.2,5.82
107,Hermanus,0,ZA,1567461176,97,-34.42,19.24,53.01,4.94
108,Petrov Val,67,RU,1567461178,89,50.14,45.21,56.39,1.72
109,Chokurdakh,61,RU,1567461179,71,70.62,147.9,39.83,5.14
110,Barrow,0,AR,1567461180,60,-38.31,-60.23,42.71,16.78
111,Nanortalik,90,GL,1567461182,91,60.14,-45.24,43.25,6.49
112,Norman Wells,75,CA,1567461183,87,65.28,-126.83,48.2,4.7
113,Talnakh,40,RU,1567461184,100,69.49,88.39,44.6,8.95
114,Svetlogorsk,75,RU,1567461106,81,53.14,59.15,46.4,4.47
115,Saint-Philippe,90,CA,1567461187,93,45.36,-73.48,73.0,7.54
116,Lompoc,1,US,1567461188,64,34.64,-120.46,89.01,12.75
117,Kaitangata,48,NZ,1567461190,70,-46.28,169.85,51.01,5.01
118,East London,67,ZA,1567461191,89,-33.02,27.91,53.69,4.0
119,Jieshi,17,CN,1567461192,89,22.82,115.83,75.83,3.0
120,Canton,40,US,1567460941,53,40.8,-81.38,79.0,8.05
121,Nishihara,90,JP,1567461195,94,35.74,139.53,81.0,5.82
122,Esperance,40,AU,1567461196,93,-33.86,121.89,50.0,11.41
123,Payo,100,ID,1567461198,81,-3.75,103.64,67.55,3.33
124,Lagoa,0,PT,1567461199,88,37.14,-8.45,78.01,2.24
125,Hithadhoo,100,MV,1567461200,76,-0.6,73.08,82.67,9.04
126,Iqaluit,75,CA,1567461204,86,63.75,-68.52,41.0,6.93
127,Bonavista,50,CA,1567461206,78,48.65,-53.11,60.01,1.99
128,Yatou,75,CM,1567461207,100,3.63,9.81,77.0,1.12
129,Calvinia,0,ZA,1567461209,25,-31.47,19.78,59.45,6.53
130,Ambilobe,0,MG,1567461210,71,-13.19,49.05,70.07,4.14
131,New Norfolk,20,AU,1567461211,76,-42.78,147.06,53.01,6.93
132,Raudeberg,75,NO,1567461213,66,61.99,5.14,53.6,17.22
133,Tuntum,4,BR,1567461214,25,-5.26,-44.64,91.31,2.62
134,Bredasdorp,0,ZA,1567461215,93,-34.53,20.04,46.99,5.82
135,Vardo,1,US,1567461217,57,39.62,-77.74,82.99,6.93
136,Oriximina,28,BR,1567461218,38,-1.77,-55.87,95.63,5.17
137,Ilave,0,PE,1567461219,13,-16.09,-69.64,60.35,4.29
138,Port Elizabeth,40,US,1567461221,65,39.31,-74.98,88.0,9.17
139,Marawi,93,PH,1567461222,93,8.0,124.29,73.99,7.0
140,Grindavik,0,IS,1567461223,65,63.84,-22.43,48.2,14.99
141,Necochea,0,AR,1567461124,87,-38.55,-58.74,39.0,11.01
142,Progreso,90,UY,1567461226,62,-34.68,-56.22,53.6,16.11
143,Tuatapere,92,NZ,1567461227,78,-46.13,167.69,48.99,4.0
144,Severobaykalsk,100,RU,1567461228,88,55.65,109.32,45.05,1.95
145,Rocha,100,UY,1567461230,64,-34.48,-54.34,47.75,7.99
146,Atuona,1,PF,1567461231,70,-9.8,-139.03,79.07,14.56
147,Lavrentiya,100,RU,1567461233,97,65.58,-170.99,45.05,14.52
148,Biak,66,ID,1567461234,97,-0.91,122.88,57.11,4.68
149,Saskylakh,0,RU,1567461235,83,71.97,114.09,31.37,7.76
150,Saldanha,0,PT,1567461237,34,41.42,-6.55,72.05,7.96
151,Ust-Kuyga,5,RU,1567461238,70,70.0,135.55,45.05,3.74
152,Mindelo,0,PT,1567461239,73,41.31,-8.72,79.0,2.24
153,Lerwick,5,GB,1567461241,93,60.15,-1.15,50.0,8.05
154,Hualmay,0,PE,1567461242,88,-11.1,-77.61,60.71,11.07
155,Langarud,75,IR,1567461243,83,37.2,50.15,73.4,1.81
156,Aklavik,20,CA,1567461245,34,68.22,-135.01,53.6,9.17
157,Srednekolymsk,31,RU,1567461246,45,67.46,153.71,47.21,2.55
158,Sioux Lookout,40,CA,1567461037,47,50.1,-91.92,55.4,4.7
159,Clyde River,90,CA,1567461245,75,70.47,-68.59,41.0,4.7
160,Dayong,20,CN,1567461250,88,25.02,118.29,78.8,4.47
161,Dankaur,75,IN,1567461251,84,28.35,77.55,91.0,3.29
162,Querecotillo,0,PE,1567461253,57,-4.84,-80.65,73.85,17.16
163,Haines Junction,98,CA,1567461254,68,60.75,-137.51,52.25,9.55
164,Salta,0,AR,1567461255,25,-24.79,-65.41,71.6,8.05
165,North Bend,1,US,1567461257,68,43.41,-124.22,86.0,12.75
166,Saint George,20,GR,1567461258,60,39.45,22.34,73.4,3.36
167,Yarim,96,YE,1567461259,52,14.3,44.38,72.05,7.16
168,Faanui,100,PF,1567461261,79,-16.48,-151.75,77.09,19.95
169,Marrakesh,20,MA,1567461262,54,31.63,-7.99,80.6,8.05
170,Taoudenni,58,ML,1567461263,17,22.68,-3.98,103.73,5.75
171,Richards Bay,65,ZA,1567461265,71,-28.77,32.06,71.15,7.9
172,Mana,80,NG,1567461266,67,13.03,5.27,81.59,6.91
173,Sitka,0,US,1567461268,33,37.17,-99.65,97.0,18.01
174,Victoria,75,BN,1567461015,78,5.28,115.24,78.8,10.63
175,Guerrero Negro,5,MX,1567461271,78,27.97,-114.04,74.39,8.05
176,Tiznit,0,MA,1567461272,91,29.7,-9.73,66.83,3.53
177,Tual,77,ID,1567461273,79,-5.67,132.75,75.47,19.69
